Semana,Museo Nacional del Prado: (Bélgica),Plaza Mayor: (Bélgica),Parque de El Retiro: (Bélgica),puerta del sol: (Bélgica),gran via: (Bélgica),Museo Nacional Thyssen-Bornemisza: (Bélgica),Templo de Debod: (Bélgica),Catedral de Santa María la Real de la Almudena: (Bélgica),cibeles: (Bélgica),Palacio de Cristal: (Bélgica),El Rastro: (Bélgica),Plaza de Toros de Las Ventas: (Bélgica),Chueca: (Bélgica),callao: (Bélgica),Calle de Serrano: (Bélgica)
2018-03-11,15,38,0,19,15,18,0,0,0,0,0,0,0,32,51
2018-03-18,15,39,0,0,0,19,45,0,47,0,0,0,0,24,0
2018-03-25,15,0,0,20,45,0,46,42,0,0,0,0,0,33,0
2018-04-01,41,42,46,21,24,0,49,0,0,0,0,51,0,44,0
2018-04-08,16,41,0,41,0,39,0,0,49,0,0,100,0,26,0
2018-04-15,40,0,0,31,16,20,0,43,0,0,0,99,0,17,0
2018-04-22,45,38,0,19,15,0,0,0,0,0,0,0,60,16,0
2018-04-29,0,0,43,19,15,0,46,0,0,0,0,0,62,16,52
2018-05-06,23,40,43,20,23,19,46,0,0,0,0,0,0,17,53
2018-05-13,37,38,41,38,15,18,0,0,0,0,42,0,0,16,0
2018-05-20,15,39,0,20,15,37,0,0,46,0,0,48,61,33,0
2018-05-27,0,0,60,18,19,17,0,0,0,0,40,0,57,15,0
2018-06-03,30,0,0,19,24,18,0,39,0,0,0,45,59,47,0
2018-06-10,14,0,39,18,14,0,0,0,0,0,39,0,0,45,0
2018-06-17,15,0,41,19,29,0,86,39,0,0,0,0,0,0,0
2018-06-24,16,80,0,20,21,19,0,43,0,0,0,0,63,0,0
2018-07-01,24,0,0,31,48,0,0,43,0,0,0,0,0,0,0
2018-07-08,0,42,68,21,21,0,48,43,0,0,0,0,0,0,0
2018-07-15,17,87,0,0,17,0,100,0,0,0,0,0,0,37,0
2018-07-22,0,43,47,0,17,21,50,0,0,0,0,0,68,0,0
2018-07-29,16,42,0,21,0,20,0,0,51,49,0,0,99,26,0
2018-08-05,31,0,0,20,15,19,0,0,0,0,0,0,0,28,0
2018-08-12,16,41,0,0,0,0,0,0,75,0,0,0,0,17,0
2018-08-19,24,40,44,20,16,0,0,0,0,0,0,49,0,34,0
2018-08-26,24,40,44,20,23,39,0,0,49,0,0,0,63,17,0
2018-09-02,16,79,43,20,41,19,0,0,0,0,0,49,62,25,53
2018-09-09,32,40,0,20,31,19,46,42,0,0,0,49,63,33,0
2018-09-16,0,39,0,30,25,19,46,0,48,0,43,0,0,16,0
2018-09-23,0,0,0,20,0,37,0,0,0,0,0,0,62,0,0
2018-09-30,0,0,64,0,15,0,0,0,0,0,0,0,0,16,53
2018-10-07,47,0,43,20,36,0,0,0,0,46,0,0,0,17,53
2018-10-14,38,39,42,19,15,18,0,40,0,0,0,0,0,48,0
2018-10-21,15,39,0,0,31,0,0,41,47,0,0,0,62,33,0
2018-10-28,16,41,0,0,31,29,0,0,0,0,0,0,0,34,54
2018-11-04,0,0,42,0,15,18,0,40,0,0,0,0,0,16,0
2018-11-11,22,0,0,0,22,18,0,39,0,0,0,0,0,21,0
2018-11-18,37,38,0,0,15,0,0,0,0,0,0,46,0,16,0
2018-11-25,0,0,0,0,22,0,0,0,0,0,0,46,0,16,50
2018-12-02,0,37,40,18,14,0,43,0,0,42,0,0,0,0,0
2018-12-09,15,0,0,19,23,0,0,0,47,0,42,0,0,33,0
2018-12-16,0,0,0,19,30,0,0,41,0,0,0,0,0,0,0
2018-12-23,0,44,0,22,0,0,51,0,0,100,0,0,0,18,0
2018-12-30,32,41,44,60,16,0,0,0,49,0,0,0,0,17,0
2019-01-06,22,0,40,19,14,18,0,39,0,0,0,46,0,16,0
2019-01-13,15,38,0,19,15,0,43,0,46,0,0,0,0,16,0
2019-01-20,14,0,59,0,28,26,63,0,44,0,0,0,0,0,0
2019-01-27,0,36,39,18,14,0,0,0,0,0,0,0,56,30,0
2019-02-03,22,0,0,0,22,35,0,0,45,85,0,0,59,16,0
2019-02-10,0,75,0,19,24,18,87,0,46,0,41,0,59,16,0
2019-02-17,44,38,41,19,15,0,44,0,46,0,0,0,60,24,0
2019-02-24,15,0,0,0,14,35,0,0,45,0,0,0,0,23,49
2019-03-03,15,38,42,0,22,37,0,41,0,44,0,47,0,16,0
2019-03-10,0,75,0,0,15,18,0,0,0,0,0,0,0,31,0
2019-03-17,0,57,0,19,15,18,44,40,0,0,0,46,60,0,0
2019-03-24,23,38,42,0,15,18,0,0,92,0,0,0,0,0,51
2019-03-31,44,37,40,0,22,0,43,0,0,0,41,0,0,16,75
2019-04-07,23,40,43,39,25,0,45,0,48,45,0,0,61,17,52
2019-04-14,24,41,45,20,16,19,0,43,0,0,0,0,65,17,55
2019-04-21,15,0,42,20,30,0,91,41,0,0,0,47,61,16,0
2019-04-28,42,0,0,36,28,17,42,0,0,0,0,44,0,0,0
2019-05-05,35,0,0,0,14,17,82,0,43,41,0,0,0,15,0
2019-05-12,29,0,0,18,29,0,43,0,67,0,0,45,58,15,50
2019-05-19,14,36,39,36,14,0,42,0,44,0,0,44,0,15,0
2019-05-26,21,73,0,18,14,0,42,0,0,0,0,0,0,15,0
2019-06-02,40,68,0,17,26,16,0,35,0,0,0,41,54,14,0
2019-06-09,21,0,38,18,34,17,41,37,0,40,0,42,56,20,0
2019-06-16,14,37,40,18,14,0,43,39,0,0,40,0,0,15,98
2019-06-23,23,0,0,0,15,0,0,0,0,45,0,0,0,16,0
2019-06-30,0,40,0,20,30,19,0,42,0,0,0,0,62,16,0
2019-07-07,30,38,0,19,30,37,0,40,46,0,0,0,0,16,0
2019-07-14,16,0,0,0,16,19,0,0,0,0,0,0,64,25,54
2019-07-21,0,0,0,0,33,0,50,0,0,0,0,0,0,0,0
2019-07-28,16,0,0,0,16,0,0,0,50,0,0,0,64,17,0
2019-08-04,32,0,44,20,0,0,0,42,97,0,0,0,0,25,0
2019-08-11,15,39,0,19,15,0,0,0,47,0,85,0,0,0,0
2019-08-18,32,40,0,20,15,19,0,83,0,0,0,0,62,17,0
2019-08-25,15,0,0,19,30,18,0,40,46,44,0,47,0,16,51
2019-09-01,0,37,0,0,24,18,43,0,0,0,0,45,58,16,49
2019-09-08,15,37,0,37,29,18,0,0,0,43,0,0,0,16,100
2019-09-15,29,38,41,0,15,36,0,0,0,0,0,0,0,15,0
2019-09-22,71,0,39,0,18,17,0,37,86,41,39,43,0,0,0
2019-09-29,14,70,38,18,14,0,0,0,42,0,0,0,0,22,0
2019-10-06,0,35,38,18,14,17,0,0,86,0,39,0,0,15,0
2019-10-13,35,35,38,18,0,17,0,37,42,0,38,0,0,29,0
2019-10-20,21,36,77,0,27,0,0,37,42,0,0,44,55,15,48
2019-10-27,28,0,40,0,28,17,42,0,0,0,0,0,57,20,0
2019-11-03,21,35,0,18,14,0,0,0,42,40,0,0,0,29,0
2019-11-10,14,35,39,18,14,0,41,0,0,0,0,0,0,15,0
2019-11-17,68,34,0,26,20,17,0,0,42,0,0,43,54,29,0
2019-11-24,40,34,0,17,26,16,0,35,0,0,0,0,0,14,0
2019-12-01,14,0,38,17,13,17,0,37,42,40,38,0,0,22,47
2019-12-08,13,0,0,17,0,16,39,0,0,0,75,0,53,14,0
2019-12-15,13,34,37,17,20,0,0,0,0,0,0,0,0,21,0
2019-12-22,0,0,0,19,14,0,0,39,0,0,0,0,58,16,0
2019-12-29,0,36,40,42,24,18,43,0,44,42,0,0,58,15,0
2020-01-05,19,0,0,16,0,0,38,0,0,38,0,0,51,21,0
2020-01-12,0,0,35,32,31,15,0,33,39,37,0,0,50,27,0
2020-01-19,26,0,36,17,26,16,0,35,0,0,0,0,53,14,0
2020-01-26,0,0,36,0,13,16,0,70,40,0,36,40,0,0,0
2020-02-02,26,33,72,0,17,16,0,35,41,0,0,0,52,14,0
2020-02-09,26,33,0,0,13,0,38,34,0,38,36,40,0,0,0
2020-02-16,0,65,0,24,19,31,38,0,0,0,0,0,51,20,0
2020-02-23,19,0,0,0,19,23,0,0,39,0,0,0,0,0,0
2020-03-01,13,0,0,0,25,15,37,0,0,0,0,39,0,14,0
2020-03-08,0,32,34,16,12,15,0,0,0,0,0,0,0,13,0
2020-03-15,12,31,34,0,24,15,0,0,38,0,0,0,0,13,0
2020-03-22,36,30,33,15,0,0,0,0,0,35,0,0,0,19,0
2020-03-29,12,30,0,15,0,14,35,0,0,34,0,0,47,0,40
2020-04-05,37,32,0,16,12,0,0,33,38,0,0,0,0,0,0
2020-04-12,12,0,0,15,12,15,0,32,0,0,0,0,0,13,0
2020-04-19,12,0,0,29,0,0,0,0,36,0,0,0,0,0,0
2020-04-26,23,29,62,0,11,0,0,0,35,0,0,0,0,0,0
2020-05-03,12,0,32,0,0,14,0,0,36,34,0,0,0,0,0
2020-05-10,12,0,0,0,0,14,0,0,0,0,0,0,0,12,0
2020-05-17,0,0,34,16,12,15,0,0,0,0,0,0,0,26,0
2020-05-24,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,11,0,0,14,18,0,33,0,0,0,0,0,0,12,0
2020-06-07,0,0,0,0,22,0,0,30,35,0,0,0,0,12,0
2020-06-14,11,0,32,15,17,0,0,0,0,0,0,0,0,0,0
2020-06-21,12,0,0,15,60,0,36,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,15,18,0,0,0,0,0,0,0,0,13,0
2020-07-05,25,0,0,16,18,0,0,33,38,0,0,0,0,14,0
2020-07-12,0,0,0,17,20,0,0,0,41,0,0,0,0,14,46
2020-07-19,0,35,0,0,0,17,42,0,0,42,0,0,0,0,0
2020-07-26,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0
