,Semana,bellver: (Francia),cuevas del drach: (Francia),formentor: (Francia),palma aquarium: (Francia),soller: (Francia),cala galdana: (Francia),cala mitjana: (Francia),cala macarella: (Francia),cala macarelleta: (Francia),albufera: (Francia),cala pregonda: (Francia),favaritx: (Francia),benirras: (Francia),es vedra: (Francia),ses salines: (Francia),cala salada: (Francia),ses illetes: (Francia),es pujols: (Francia),babaria: (Francia),magaluf: (Francia)
130,2018-01-28,13,0,8,0,24,23,0,0,0,30,0,0,38,0,28,27,34,0,27,13
131,2018-02-04,46,0,12,39,22,0,0,29,0,13,0,0,0,29,0,0,0,0,54,17
132,2018-02-11,26,0,8,59,27,23,0,0,43,32,0,0,0,60,0,0,0,0,28,12
133,2018-02-18,31,0,9,41,35,0,0,30,0,20,0,0,0,0,0,0,36,0,0,15
134,2018-02-25,26,32,17,0,39,35,0,0,0,30,0,0,39,30,29,27,0,0,28,17
135,2018-03-04,30,0,14,0,39,71,0,0,0,52,0,0,0,31,0,28,35,0,0,16
136,2018-03-11,26,0,11,39,37,39,0,0,0,52,0,0,0,30,28,0,0,0,28,26
137,2018-03-18,35,0,8,39,25,24,0,0,0,43,0,45,0,0,0,28,35,42,0,26
138,2018-03-25,39,33,14,0,65,24,0,30,0,26,0,0,0,0,29,0,35,0,0,15
139,2018-04-01,20,0,26,0,45,24,0,0,0,20,0,47,0,31,0,0,0,0,28,28
140,2018-04-08,43,33,25,40,47,36,0,0,0,48,0,45,0,31,29,28,35,42,0,25
141,2018-04-15,47,35,21,0,56,76,0,0,47,42,0,0,42,33,62,0,0,0,30,25
142,2018-04-22,31,0,12,41,48,24,31,0,0,45,0,0,0,31,30,58,36,0,0,29
143,2018-04-29,44,0,11,60,63,96,31,0,0,40,0,0,0,61,29,0,35,85,28,26
144,2018-05-06,20,0,18,0,83,25,32,31,46,41,47,0,41,32,0,29,0,0,59,31
145,2018-05-13,46,0,21,39,32,35,0,0,0,48,0,0,59,30,29,28,35,0,28,35
146,2018-05-20,27,33,13,40,41,24,31,0,0,53,46,0,40,31,0,28,0,0,29,44
147,2018-05-27,30,32,17,0,44,23,30,0,0,70,0,0,0,0,0,27,0,0,0,35
148,2018-06-03,21,32,22,39,44,31,30,0,0,26,44,45,0,30,0,28,35,0,0,40
149,2018-06-10,37,0,28,0,59,37,29,28,0,33,43,44,0,29,41,26,33,0,0,42
150,2018-06-17,39,0,8,0,42,24,31,30,44,48,0,0,78,0,0,42,0,0,0,41
151,2018-06-24,20,0,17,79,42,95,30,0,0,44,45,0,39,0,29,28,35,0,28,57
152,2018-07-01,13,32,25,0,41,23,59,29,43,47,87,0,38,45,28,41,0,41,0,42
153,2018-07-08,18,100,29,40,43,24,31,60,0,53,0,0,40,31,29,28,36,43,0,43
154,2018-07-15,14,0,21,64,91,25,33,32,0,51,49,0,0,33,0,30,37,0,30,33
155,2018-07-22,28,0,30,42,59,25,32,32,0,56,96,0,42,33,31,0,0,44,30,74
156,2018-07-29,52,35,21,43,70,26,0,65,0,33,48,0,86,33,31,0,38,91,46,66
157,2018-08-05,24,0,31,43,86,52,33,48,0,61,49,50,0,50,47,0,76,0,31,84
158,2018-08-12,39,37,66,44,100,53,0,0,98,68,100,51,87,68,32,0,39,93,63,72
159,2018-08-19,28,0,21,86,78,68,100,32,0,42,65,49,43,33,31,30,0,0,61,49
160,2018-08-26,40,34,44,41,75,25,80,31,0,23,0,48,82,0,30,29,37,44,29,51
161,2018-09-02,22,33,52,41,53,24,31,30,0,22,0,0,0,0,0,0,36,43,29,36
162,2018-09-09,40,33,26,40,38,24,0,30,0,31,0,0,40,31,0,0,36,43,28,30
163,2018-09-16,39,33,11,40,37,24,0,30,0,22,0,0,39,61,29,28,35,0,85,16
164,2018-09-23,40,33,20,81,58,36,31,61,0,33,0,0,40,0,29,42,0,42,29,17
165,2018-09-30,26,0,17,41,25,24,31,0,0,44,0,0,0,31,87,0,0,42,29,21
166,2018-10-07,31,33,17,0,52,24,0,0,0,39,0,0,0,31,29,28,0,0,0,19
167,2018-10-14,40,0,17,80,48,36,0,0,0,26,0,0,0,31,29,28,0,0,28,13
168,2018-10-21,13,0,30,41,43,24,0,0,45,31,0,0,0,0,29,28,0,0,0,7
169,2018-10-28,46,0,20,40,41,24,0,0,0,27,0,0,0,31,59,28,0,0,0,6
170,2018-11-04,26,0,8,39,24,23,0,0,0,26,0,0,0,0,0,0,0,41,0,8
171,2018-11-11,13,0,0,39,19,23,0,0,0,19,0,0,0,0,28,28,0,0,27,8
172,2018-11-18,13,0,8,39,17,23,0,0,0,34,0,0,0,0,0,0,0,0,0,6
173,2018-11-25,30,0,17,0,22,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3
174,2018-12-02,19,0,8,39,11,23,0,0,0,51,0,0,0,0,0,0,0,0,0,3
175,2018-12-09,17,0,8,0,7,0,0,0,0,20,0,0,0,0,0,28,0,0,0,6
176,2018-12-16,45,0,13,0,18,0,0,0,0,93,0,0,0,31,0,0,0,0,0,10
177,2018-12-23,15,0,29,0,20,0,0,0,0,75,0,0,0,0,0,32,0,0,65,9
178,2018-12-30,14,0,0,0,32,26,0,0,0,70,0,0,0,33,0,0,0,0,0,5
179,2019-01-06,21,0,17,0,29,35,0,0,0,73,0,0,0,0,0,0,0,0,28,12
