Semana,Museo Nacional del Prado: (Todo el mundo),plaza mayor: (Todo el mundo),Parque de El Retiro: (Todo el mundo),puerta del sol: (Todo el mundo),gran via: (Todo el mundo),Museo Nacional Thyssen-Bornemisza: (Todo el mundo),templo de debod: (Todo el mundo),Catedral de Santa María la Real de la Almudena: (Todo el mundo),cibeles: (Todo el mundo),Palacio de Cristal: (Todo el mundo),puerta de alcala: (Todo el mundo),el rastro: (Todo el mundo),las ventas: (Todo el mundo),chueca: (Todo el mundo),san gines: (Todo el mundo),callao: (Todo el mundo),calle serrano: (Todo el mundo)
2019-02-24,1,59,50,14,49,50,51,13,22,68,48,44,40,56,39,66,68
2019-03-03,1,53,49,14,53,62,53,12,26,77,61,47,34,49,42,63,53
2019-03-10,1,53,54,14,49,42,59,13,34,58,54,48,40,49,37,65,75
2019-03-17,1,54,51,15,52,47,67,12,31,57,55,55,49,53,43,66,80
2019-03-24,1,54,48,14,47,40,57,15,24,76,59,55,44,48,48,69,66
2019-03-31,1,56,39,15,52,49,47,11,26,59,46,50,41,52,42,62,74
2019-04-07,1,62,38,15,50,35,55,10,24,50,55,42,45,52,57,67,79
2019-04-14,1,79,46,16,57,50,75,35,26,57,53,40,38,48,57,56,49
2019-04-21,1,65,43,15,53,42,73,16,31,47,43,46,45,51,38,63,79
2019-04-28,1,69,46,13,60,44,77,14,30,41,56,50,50,53,41,62,61
2019-05-05,1,70,40,16,51,50,56,11,31,52,48,50,61,51,45,60,64
2019-05-12,1,71,47,15,60,49,62,10,27,44,49,48,87,49,44,64,74
2019-05-19,1,64,49,17,55,40,60,10,28,43,68,44,100,57,46,66,72
2019-05-26,1,69,48,20,51,38,54,8,27,45,64,48,97,56,44,72,72
2019-06-02,1,62,53,15,61,39,48,11,28,60,65,57,80,54,35,68,93
2019-06-09,1,61,49,15,53,37,48,8,29,55,59,47,90,54,39,62,62
2019-06-16,1,63,41,13,56,56,56,11,29,55,59,43,47,55,41,64,69
2019-06-23,1,68,39,15,56,47,56,10,33,51,61,47,42,52,46,69,71
2019-06-30,1,67,31,15,57,60,46,7,33,44,66,49,45,66,48,66,66
2019-07-07,1,68,52,16,54,55,55,8,31,39,56,48,39,54,42,67,66
2019-07-14,1,65,38,15,53,54,52,7,29,44,52,43,33,51,49,66,69
2019-07-21,1,72,44,15,73,49,60,7,30,43,40,41,29,48,36,77,57
2019-07-28,1,71,43,14,55,41,46,9,36,43,61,45,32,53,43,67,59
2019-08-04,1,71,43,16,55,52,57,9,30,62,57,50,32,46,53,72,45
2019-08-11,1,78,47,15,54,42,67,9,31,54,45,44,41,45,52,79,60
2019-08-18,1,67,49,15,50,47,75,10,34,72,58,48,38,53,100,82,69
2019-08-25,1,63,43,14,51,45,54,11,29,53,45,44,42,46,62,65,74
2019-09-01,1,69,51,15,55,49,51,12,30,58,53,42,46,54,37,69,76
2019-09-08,1,69,45,14,57,63,54,10,26,50,56,41,47,55,49,66,85
2019-09-15,1,67,38,16,59,60,52,14,29,49,58,32,47,54,44,65,69
2019-09-22,1,60,44,17,63,47,58,14,28,46,59,50,52,52,36,63,86
2019-09-29,1,66,50,16,58,45,72,14,29,48,54,43,59,64,51,62,78
2019-10-06,1,71,40,16,66,49,48,16,29,42,59,44,52,59,52,62,70
2019-10-13,1,64,46,17,64,45,48,12,27,70,54,48,48,61,43,72,73
2019-10-20,1,68,40,15,57,41,42,16,32,55,55,35,43,60,42,71,86
2019-10-27,1,71,45,15,71,58,71,20,26,67,77,38,35,57,47,68,58
2019-11-03,1,63,40,15,58,51,41,68,26,75,49,51,42,53,44,67,58
2019-11-10,1,63,30,16,58,47,54,17,28,40,52,44,45,51,41,67,81
2019-11-17,100,66,32,18,60,57,54,11,25,43,56,46,40,53,45,61,53
2019-11-24,4,77,36,17,60,43,50,12,29,39,63,44,36,49,50,65,83
2019-12-01,1,86,37,18,65,49,53,12,28,44,55,41,40,52,54,67,78
2019-12-08,1,84,31,18,55,37,67,12,31,36,47,36,32,69,52,65,58
2019-12-15,1,87,31,20,62,34,39,9,31,25,44,35,26,61,47,65,62
2019-12-22,1,96,55,21,76,51,72,12,35,52,59,35,23,71,66,68,72
2019-12-29,1,83,49,100,70,48,63,11,31,58,71,36,20,60,57,66,64
2020-01-05,1,55,37,17,58,45,52,8,31,38,45,41,27,54,42,67,74
2020-01-12,1,52,34,14,57,44,44,7,27,30,46,38,29,54,40,68,70
2020-01-19,1,56,37,20,54,49,50,8,30,49,57,36,32,62,40,74,98
2020-01-26,1,52,30,16,56,41,61,10,27,49,47,40,34,56,47,79,96
2020-02-02,1,57,32,15,51,43,74,10,29,43,48,35,38,55,35,70,97
2020-02-09,1,68,42,15,54,47,62,10,28,44,58,32,38,58,36,65,67
2020-02-16,1,65,36,14,50,68,92,10,28,48,42,42,40,57,45,69,77
2020-02-23,1,63,46,15,53,57,87,9,23,44,55,37,36,57,39,68,61
2020-03-01,1,56,35,14,44,47,62,10,24,41,49,38,36,50,37,67,61
2020-03-08,1,42,41,14,37,34,35,8,19,28,37,40,37,37,32,57,37
2020-03-15,1,24,19,14,19,25,12,5,15,12,31,33,29,26,13,37,34
2020-03-22,1,26,14,10,16,22,14,5,13,54,30,38,39,27,17,30,28
2020-03-29,1,22,16,9,16,20,21,8,12,19,28,32,35,23,12,33,22
2020-04-05,1,19,13,9,19,17,16,8,11,18,26,32,29,28,13,33,19
2020-04-12,1,22,13,8,17,21,11,6,12,18,34,32,36,25,18,37,21
2020-04-19,1,21,15,9,14,19,16,8,17,16,44,33,45,28,21,37,26
2020-04-26,1,21,33,10,17,25,20,9,14,21,42,36,43,29,17,37,26
2020-05-03,1,24,18,9,20,19,18,6,13,23,37,36,47,29,16,37,37
2020-05-10,<1,26,20,9,21,24,13,7,13,18,42,32,46,36,18,41,34
2020-05-17,1,31,23,9,24,20,20,5,16,27,33,33,51,34,20,43,43
2020-05-24,<1,32,34,10,29,23,20,6,13,22,36,42,46,38,20,49,58
2020-05-31,1,43,26,8,31,44,24,6,15,15,36,34,52,34,20,52,43
2020-06-07,1,35,27,9,31,48,23,5,17,25,38,34,49,40,25,52,46
2020-06-14,<1,34,18,10,34,35,28,5,14,26,38,37,45,37,22,57,50
2020-06-21,<1,36,26,9,32,26,23,7,18,16,24,33,41,45,27,49,53
2020-06-28,<1,34,20,9,33,27,20,6,16,19,33,37,42,46,21,51,53
2020-07-05,<1,34,23,9,33,27,28,16,17,26,33,36,36,39,27,57,44
2020-07-12,<1,34,26,8,33,27,29,6,55,41,31,30,40,40,22,57,55
2020-07-19,<1,37,24,9,32,29,27,6,13,65,29,30,38,41,18,60,46
2020-07-26,<1,35,29,6,27,29,46,9,15,100,32,42,32,45,22,45,43
